Contaminated Food,Germ,Year
"<a href=""/salmonella/thompson-10-23/index.html"">Fresh Diced Onions</a>",<em>Salmonella</em> Thompson,2023
"<a href=""/listeria/outbreaks/ice-cream-08-23/index.html"">Ice Cream</a>",<em>Listeria monocytogenes</em>,2023
"<a href=""/salmonella/saintpaul-07-23/index.html"">Ground Beef</a>",<em>Salmonella</em> Saint Paul,2023
"<a href=""/salmonella/enteritidis-05-23/index.html"">Raw Cookie Dough</a>",<em>Salmonella</em> Enteritidis,2023
"<a href=""/salmonella/infantis-03-23/index.html"">Flour</a>",<em>Salmonella</em> Infantis,2023
"<a href=""/hepatitis/outbreaks/2023/hav-contaminated-food/index.htm"">Frozen Strawberries</a>",Hepatitis A,2023
"<a href=""/listeria/outbreaks/monocytogenes-02-23/index.html"">Leafy Greens</a>",<em>Listeria monocytogenes</em>,2023
"<a href=""/salmonella/typhimurium-12-22/index.html"">Alfalfa Sprouts</a>",<em>Salmonella</em> Typhimurium,2022
"<a href=""/norovirus/outbreaks/index.html"">Raw Oysters</a>",Norovirus,2022
"<a href=""/listeria/outbreaks/enoki-11-22/index.html"">Enoki Mushrooms</a>",<em>Listeria monocytogenes</em>,2022
"<a href=""/listeria/outbreaks/deli-11-22/index.html"">Deli Meat and Cheese</a>",<em>Listeria monocytogenes</em>,2022
"<a href=""/salmonella/litchfield-10-22/index.html"">Fish</a>",<em>Salmonella</em> Litchfield,2022
"<a href=""/ecoli/2022/o121-10-22/index.html"">Frozen Falafel</a>",<em>E. coli</em> O121,2022
"<a href=""/listeria/outbreaks/monocytogenes-09-22/index.html"">Brie and Camembert Cheese</a>",<em>Listeria monocytogenes</em>,2022
"<a href=""/ecoli/2022/o157h7-09-22/index.html"">Ground Beef</a>",<em>E. coli</em> O157:H7,2022
"<a href=""/ecoli/2022/o157h7-08-22/index.html"">Unknown Food Source</a>",<em>E. coli</em> O157:H7,2022
"<a href=""/listeria/outbreaks/monocytogenes-06-22/index.html"">Ice Cream</a>",<em>Listeria monocytogenes</em>,2022
"<a href=""/hepatitis/outbreaks/2022/hav-contaminated-food/index.htm"">Strawberries</a>",Hepatitis A,2022
"<a href=""/salmonella/senftenberg-05-22/index.html"">Peanut Butter</a>",<em>Salmonella</em> Senftenberg,2022
"<a href=""/norovirus/outbreaks/index.html"">Raw Oysters</a>",Norovirus,2022
"<a href=""/ecoli/2021/o157h7-12-21/index.html"">Power Greens Packaged Salads</a>",<em>E. coli</em> O157:H7,2021
"<a href=""/listeria/outbreaks/packaged-salad-12-21-b/index.html"">Fresh Express Packaged Salads</a>",<em>Listeria monocytogenes</em>,2021
"<a href=""/listeria/outbreaks/packaged-salad-mix-12-21/index.html"">Dole Packaged Salads</a>",<em>Listeria monocytogenes</em>,2021
"<a href=""/ecoli/2021/o157h7-11-21/index.html"">Baby Spinach</a>",<em>E. coli</em> O157:H7,2021
"<a href=""/salmonella/i45-10-21/index.html"">Salami Sticks</a>","<em>Salmonella</em> I 4,[5],12:i:-",2021
"<a href=""/salmonella/thompson-10-21/index.html"">Seafood</a>",<em>Salmonella</em> Thompson,2021
"<a href=""/salmonella/oranienburg-09-21/index.html"">Onions</a>",<em>Salmonella</em> Oranienburg,2021
"<a href=""/salmonella/italian-style-meat-08-21/index.html"">Italian-Style Meats</a>",<em>Salmonella</em> Infantis and Typhimurium,2021
"<a href=""/ecoli/2021/o121-07-21/index.html"">Cake Mix</a>",<em>E. coli</em> O121,2021
"<a href=""/salmonella/typhimurium-07-21/index.html"">Prepackaged Salads</a>",<em>Salmonella</em> Typhimurium,2021
"<a href=""/listeria/outbreaks/precooked-chicken-07-21/index.html"">Fully Cooked Chicken</a>",<em>Listeria monocytogenes</em>,2021
"<a href=""/salmonella/weltevreden-06-21/index.html"">Frozen Cooked Shrimp</a>",<em>Salmonella</em> Weltevreden,2021
"<a href=""/salmonella/enteritidis-06-21/index.html"">Raw Frozen Breaded Stuffed Chicken Products</a>",<em>Salmonella</em> Enteritidis,2021
"<a href=""/salmonella/duisburg-04-21/index.html"">Cashew Brie</a>",<em>Salmonella</em> Duisburg,2021
"<a href=""/salmonella/hadar-04-21/index.html"">Ground Turkey</a>",<em>Salmonella</em> Hadar,2021
"<a href=""/listeria/outbreaks/hispanic-soft-cheese-02-21/index.html"">Queso Fresco</a>",<em>Listeria monocytogenes</em>,2021
"<a href=""/ecoli/2021/o157h7-02-21/index.html"">Unknown Food Source</a>",<em>E. coli</em> O157:H7,2021
"<a href=""/ecoli/2020/o157h7-11-20/index.html"">Unknown Source 3</a>",<em>E. coli</em> O157:H7,2020
"<a href=""/ecoli/2020/o157h7-10-20b/index.html"">Leafy Greens</a>",<em>E. coli</em> O157:H7,2020
"<a href=""/ecoli/2020/o157h7-10-20a/index.html"">Unknown Source 1</a>",<em>E. coli</em> O157:H7,2020
"<a href=""/listeria/outbreaks/delimeat-10-20/index.html"">Deli Meats</a>",<em>Listeria monocytogenes</em>,2020
"<a href=""/salmonella/stanley-09-20/index.html"">Wood Ear Mushrooms</a>",<em>Salmonella</em> Stanley,2020
"<a href=""/salmonella/enteritidis-08-20/index.html"">Peaches</a>",<em>Salmonella</em> Enteritidis,2020
"<a href=""/salmonella/newport-07-20/index.html"">Onions</a>",<em>Salmonella</em> Newport,2020
"<a href=""/parasites/cyclosporiasis/outbreaks/2020/index.html"">Bagged Salad Mix</a>",<em>Cyclospora</em>,2020
"<a href=""/listeria/outbreaks/enoki-mushrooms-03-20/index.html"">Enoki Mushrooms</a>",<em>Listeria monocytogenes</em>,2020
"<a href=""/ecoli/2020/o103h2-02-20/index.html"">Clover Sprouts</a>",<em>E. coli</em> O103,2020
"<a href=""/listeria/outbreaks/eggs-12-19/index.html"">Hard-Boiled Eggs</a>",<em>Listeria monocytogenes</em>,2019
"<a href=""/salmonella/javiana-12-19/index.html"">Cut Fruit</a>",<em>Salmonella</em> Javiana,2019
"<a href=""/ecoli/2019/o157h7-12-19/index.html"">Salad Kits</a>",<em>E. coli</em> O157:H7,2019
"<a href=""/ecoli/2019/o157h7-11-19/index.html"">Romaine Lettuce</a>",<em>E. coli</em> O157:H7,2019
"<a href=""/salmonella/dublin-11-19/index.html"">Ground Beef</a>",<em>Salmonella</em> Dublin,2019
"<a href=""/listeria/outbreaks/monocytogenes-08-19/index.html"">Unknown Food Source</a>",<em>Listeria monocytogenes</em>,2019
"<a href=""/parasites/cyclosporiasis/outbreaks/2019/weekly/index.html"">Fresh Basil</a>",<em>Cyclospora</em>,2019
"<a href=""/ecoli/2019/bison-07-19/index.html"">Ground Bison</a>",<em>E. coli</em> O103 and O121,2019
"<a href=""/salmonella/uganda-06-19/index.html"">Papayas</a>",<em>Salmonella</em> Uganda,2019
"<a href=""/ecoli/2019/flour-05-19/index.html"">Flour</a>",<em>E. coli</em> O26,2019
"<a href=""/salmonella/concord-05-19/index.html"">Tahini</a>",<em>Salmonella</em> Concord,2019
"<a href=""/vibrio/investigations/rawoysters-05-19/index.html"">Raw Oysters</a>","Multiple germs, including <em>Vibrio parahaemolyticus</em>, <em>Shigella flexneri</em>, Shiga toxin-producing <em>E. coli</em> non-O157, <em>Vibrio albensis</em>, <em>Campylobacter lari</em>, and norovirus genogroup 1",2019
"<a href=""/listeria/outbreaks/deliproducts-04-19/index.html"">Deli-Sliced Meats and Cheeses</a>",<em>Listeria monocytogenes</em>,2019
"<a href=""/salmonella/newport-04-19/index.html"">Frozen Raw Tuna</a>",<em>Salmonella</em> Newport,2019
"<a href=""/salmonella/carrau-04-19/index.html"">Pre-Cut Melon</a>",<em>Salmonella</em> Carrau,2019
"<a href=""/ecoli/2019/o103-04-19/index.html"">Ground Beef</a>",<em>E. coli</em> O103,2019
"<a href=""/salmonella/schwarzengrund-03-19/index.html"">Ground Turkey</a>",<em>Salmonella</em> Schwarzengrund,2019
"<a href=""/salmonella/concord-11-18/index.html"">Tahini</a>",<em>Salmonella</em> Concord,2018
"<a href=""/salmonella/agbeni-11-18/index.html"">Unknown Source</a>",<em>Salmonella</em> Agbeni,2018
"<a href=""/listeria/outbreaks/porkproducts-11-18/index.html"">Pork Products</a>",<em>Listeria monocytogenes</em>,2018
"<a href=""/ecoli/2018/o157h7-11-18/index.html"">Romaine Lettuce</a>",<em>E. coli</em> O157:H7,2018
"<a href=""/salmonella/infantis-10-18/index.html"">Raw Chicken Products</a>",<em>Salmonella</em> Infantis,2018
"<a href=""/salmonella/newport-10-18/index.html"">Ground Beef</a>",<em>Salmonella</em> Newport,2018
"<a href=""/listeria/outbreaks/countryham-10-18/index.html"">Deli Ham</a>",<em>Listeria monocytogenes</em>,2018
"<a href=""/ecoli/2018/o26-09-18/index.html"">Ground Beef</a>",<em>E. coli</em> O26,2018
"<a href=""/salmonella/enteritidis-09-18/index.html"">Shell Eggs</a>",<em>Salmonella</em> Enteritidis,2018
"<a href=""/salmonella/chicken-08-18/index.html"">Chicken</a>","<em>Salmonella</em> I 4,[5]],12:i:-",2018
"<a href=""/salmonella/reading-07-18/index.html"">Raw Turkey Products</a>",<em>Salmonella</em> Reading,2018
"<a href=""/salmonella/sandiego-07-18/index.html"">Pasta Salad</a>",<em>Salmonella</em> Sandiego,2018
"<a href=""/parasites/cyclosporiasis/outbreaks/2018/b-071318/index.html"">Salad Mix</a>",<em>Cyclospora</em>,2018
"<a href=""/parasites/cyclosporiasis/outbreaks/2018/a-062018/index.html"">Vegetable Trays</a>",<em>Cyclospora</em>,2018
"<a href=""/vibrio/investigations/vibriop-07-18/index.html"">Crab Meat</a>",<em>Vibrio parahaemolyticus</em>,2018
"<a href=""/salmonella/mbandaka-06-18/index.html"">Cereal</a>",<em>Salmonella</em> Mbandaka,2018
"<a href=""/salmonella/adelaide-06-18/index.html"">Pre-Cut Melon</a>",<em>Salmonella</em> Adelaide,2018
"<a href=""/salmonella/braenderup-04-18/index.html"">Shell Eggs</a>",<em>Salmonella</em> Braenderup,2018
"<a href=""/ecoli/2018/o157h7-04-18/index.html"">Romaine Lettuce</a>",<em>E. coli</em> O157:H7,2018
"<a href=""/salmonella/typhimurium-03-18/index.html"">Dried Coconut</a>",<em>Salmonella</em> Typhimurium,2018
"<a href=""/salmonella/typhimurium-02-18/index.html"">Chicken Salad</a>",<em>Salmonella</em> Typhimurium,2018
"<a href=""/salmonella/kratom-02-18/index.html"">Kratom</a>","<em>Salmonella</em> I 4,[5],12:b:-",2018
"<a href=""/salmonella/montevideo-01-18/index.html"">Raw Sprouts</a>",<em>Salmonella</em> Montevideo,2018
"<a href=""/salmonella/coconut-01-18/index.html"">Frozen Shredded Coconut</a>","<em>Salmonella</em> I 4,[5],12:b:- and Newport",2018
"<a href=""/ecoli/2017/o157h7-12-17/index.html"">Leafy Greens</a>",<em>E. coli</em> O157:H7,2017
"<a href=""/parasites/cyclosporiasis/outbreaks/2017/index.html"">Unknown Source</a>",<em>Cyclospora</em>,2017
"<a href=""/salmonella/urbana-09-17/index.html"">Maradol Papayas</a>",<em>Salmonella</em> Urbana,2017
"<a href=""/salmonella/newport-09-17/index.html"">Maradol Papayas</a>",<em>Salmonella</em> Newport and Infantis,2017
"<a href=""/salmonella/anatum-9-17/index.html"">Maradol Papayas</a>",<em>Salmonella</em> Anatum,2017
"<a href=""/salmonella/kiambu-07-17/index.html"">Maradol Papayas</a>","<em>Salmonella</em> Thompson, Kiambu, Agona, Gaminara, and Senftenberg",2017
"<a href=""/listeria/outbreaks/soft-cheese-03-17/index.html"">Soft Raw Milk Cheese</a>",<em>Listeria monocytogenes</em>,2017
"<a href=""/ecoli/2017/o157h7-03-17/index.html"">SoyNut Butter</a>",<em>E. coli</em> O157:H7,2017
"<a href=""/salmonella/oranienburg-10-16/index.html"">Shell Eggs</a>",<em>Salmonella</em> Oranienburg,2016
"<a href=""/parasites/cyclosporiasis/outbreaks/2016/index.html"">Unknown Source</a>",<em>Cyclospora</em>,2016
"<a href=""/ecoli/2016/o157h7-09-16/index.html"">Beef Products</a>",<em>E. coli</em> O157:H7,2016
"<a href=""/hepatitis/outbreaks/2016/hav-strawberries.htm"">Frozen Strawberries</a>",Hepatitis A,2016
"<a href=""/hepatitis/outbreaks/2016/hav-hawaii.htm"">Frozen Scallops</a>",Hepatitis A,2016
"<a href=""/salmonella/reading-08-16/index.html"">Alfalfa Sprouts</a>",<em>Salmonella</em> Reading and Abony,2016
"<a href=""/ecoli/2016/o121-06-16/index.html"">Flour</a>",<em>E. coli</em> O121 and O26,2016
"<a href=""/listeria/outbreaks/frozen-vegetables-05-16/index.html"">Frozen Vegetables</a>",<em>Listeria monocytogenes</em>,2016
"<a href=""/listeria/outbreaks/raw-milk-03-16/index.html"">Raw Milk</a>",<em>Listeria monocytogenes</em>,2016
"<a href=""/salmonella/montevideo-03-16/index.html"">Pistachios</a>",<em>Salmonella</em> Montevideo,2016
"<a href=""/ecoli/2016/o157-02-16/index.html"">Alfalfa Sprouts</a>",<em>E. coli</em> O157,2016
"<a href=""/salmonella/muenchen-02-16/index.html"">Alfalfa Sprouts</a>",<em>Salmonella</em> Muenchen and Kentucky,2016
"<a href=""/salmonella/virchow-02-16/index.html"">Shake and Meal Replacement Product</a>",<em>Salmonella</em> Virchow,2016
"<a href=""/listeria/outbreaks/bagged-salads-01-16/index.html"">Packaged Salads</a>",<em>Listeria monocytogenes</em>,2016
"<a href=""/salmonella/paratyphi-b-12-15/index.html"">Nut Butter Spreads</a>",<em>Salmonella</em> Paratyphi B variant L(+) tartrate(+),2015
"<a href=""/ecoli/2015/o157h7-11-15/index.html"">Rotisserie Chicken Salad</a>",<em>E. coli</em> O157:H7,2015
"<a href=""/ecoli/2015/o26-11-15/index.html"">Mexican Style Restaurant Chain</a>",<em>E. coli</em> O26,2015
"<a href=""/listeria/outbreaks/soft-cheeses-09-15/index.html"">Soft Cheeses</a>",<em>Listeria monocytogenes</em>,2015
"<a href=""/salmonella/poona-09-15/index.html"">Cucumbers</a>",<em>Salmonella</em> Poona,2015
"<a href=""/salmonella/pork-08-15/index.html"">Pork</a>","<em>Salmonella</em> I 4,[5],12:i:- and Infantis",2015
"<a href=""/parasites/cyclosporiasis/outbreaks/2015/index.html"">Unknown Source</a>",<em>Cyclospora</em>,2015
"<a href=""/salmonella/frozen-chicken-entrees-part2-07-15/index.html"">Raw Frozen Stuffed Chicken Entrees</a>",<em>Salmonella</em> Enteritidis,2015
"<a href=""/salmonella/frozen-chicken-entrees-07-15/index.html"">Raw Frozen Stuffed Chicken Products</a>",<em>Salmonella</em> Enteritidis,2015
"<a href=""/salmonella/paratyphi-b-05-15/index.html"">Frozen Raw Tuna</a>",<em>Salmonella</em> Paratyphi B variant L(+) tartrate(+) and Weltevreden,2015
"<a href=""/listeria/outbreaks/ice-cream-03-15/index.html"">Ice Cream</a>",<em>Listeria monocytogenes</em>,2015
"<a href=""/mmwr/preview/mmwrhtml/mm6406a3.htm?s_cid=mm6406a3_e"">Cucumbers</a>",<em>Salmonella</em> Newport,2014
"<a href=""/listeria/outbreaks/caramel-apples-12-14/index.html"">Caramel Apples</a>",<em>Listeria monocytogenes</em>,2014
"<a href=""/salmonella/enteritidis-11-14/index.html"">Bean Sprouts</a>",<em>Salmonella</em> Enteritidis,2014
"<a href=""/listeria/outbreaks/bean-sprouts-11-14/index.html"">Bean Sprouts</a>",<em>Listeria monocytogenes</em>,2014
"<a href=""/listeria/outbreaks/cheese-10-14/index.html"">Cheese</a>",<em>Listeria monocytogenes</em>,2014
"<a href=""/parasites/cyclosporiasis/outbreaks/2014/index.html"">Cilantro</a>",<em>Cyclospora</em>,2014
"<a href=""/salmonella/braenderup-08-14/index.html"">Nut Butter</a>",<em>Salmonella</em> Braenderup,2014
"<a href=""/salmonella/newport-05-14/index.html"">Sprouted Chia Powder</a>","<em>Salmonella</em> Newport, Hartford, and Oranienburg",2014
"<a href=""/ecoli/2014/O121-05-14/index.html"">Raw Clover Sprouts</a>",<em>E. coli</em> O121,2014
"<a href=""/ecoli/2014/O157H7-05-14/index.html"">Ground Beef</a>",<em>E. coli</em> O157:H7,2014
"<a href=""/listeria/outbreaks/cheese-02-14/index.html"">Cheese</a>",<em>Listeria monocytogenes</em>,2014
"<a href=""/salmonella/heidelberg-01-14/index.html"">Chicken</a>",<em>Salmonella</em> Heidelberg,2014
"<a href=""/salmonella/stanley-01-14/index.html"">Raw Cashew Cheese</a>",<em>Salmonella</em> Stanley,2014
"<a href=""/ecoli/2013/O157H7-11-13/index.html"">Ready-to-Eat Salads</a>",<em>E. coli</em> O157:H7,2013
"<a href=""/salmonella/heidelberg-10-13/index.html"">Chicken</a>",<em>Salmonella</em> Heidelberg,2013
"<a href=""/vibrio/investigations/index.html"">Raw Shellfish</a>",<em>Vibrio parahaemolyticus</em>,2013
"<a href=""/parasites/cyclosporiasis/outbreaks/investigation-2013.html"">Fresh Produce</a>",<em>Cyclospora</em>,2013
"<a href=""/listeria/outbreaks/cheese-07-13/index.html"">Cheese</a>",<em>Listeria monocytogenes</em>,2013
"<a href=""/hepatitis/Outbreaks/2013/A1b-03-31/index.html"">Pomegranate Seeds</a>",Hepatitis A,2013
"<a href=""/salmonella/montevideo-tahini-05-13/"">Tahini Sesame Paste</a>",<em>Salmonella</em> Montevideo and Mbandaka,2013
"<a href=""/salmonella/saintpaul-04-13/index.html"">Cucumbers</a>",<em>Salmonella</em> Saintpaul,2013
"<a href=""/ecoli/2013/O121-03-13/index.html"">Frozen Food Products</a>",<em>E. coli</em> O121,2013
"<a href=""/salmonella/heidelberg-02-13/index.html"">Chicken</a>",<em>Salmonella</em> Heidelberg,2013
"<a href=""/salmonella/typhimurium-01-13/index.html"">Ground Beef</a>",<em>Salmonella</em> Typhimurium,2013
"<a href=""/ecoli/2012/O157H7-11-12/index.html"">Spinach and Spring Mix</a>",<em>E. coli</em> O157:H7,2012
"<a href=""/salmonella/bredeney-09-12/index.html"">Peanut Butter</a>",<em>Salmonella</em> Bredeney,2012
"<a href=""/listeria/outbreaks/cheese-09-12/index.html"">Ricotta Salata Cheese</a>",<em>Listeria monocytogenes</em>,2012
"<a href=""/salmonella/braenderup-08-12/index.html"">Mangoes</a>",<em>Salmonella</em> Braenderup,2012
"<a href=""/salmonella/typhimurium-cantaloupe-08-12/index.html"">Cantaloupes</a>",<em>Salmonella</em> Typhimurium and Newport,2012
"<a href=""/salmonella/enteritidis-07-12/index.html"">Ground Beef</a>",<em>Salmonella</em> Enteritidis,2012
"<a href=""/ecoli/2012/O145-06-12/index.html"">Unknown Source</a>",<em>E. coli</em> O145,2012
"<a href=""/salmonella/bareilly-04-12/index.html"">Frozen Raw Ground Tuna</a>",<em>Salmonella</em> Bareilly and Nchanga,2012
"<a href=""/ecoli/2012/O26-02-12/index.html"">Raw Clover Sprouts</a>",<em>E. coli</em> O26,2012
"<a href=""/salmonella/restaurant-enteriditis/index.html"">Mexican Style Restaurant Chain</a>",<em>Salmonella</em> Enteritidis,2012
"<a href=""/salmonella/2011/ground-beef-2-1-2012.html"">Ground Beef</a>",<em>Salmonella</em> Typhimurium,2011
"<a href=""/ecoli/2011/romaine-lettace-3-23-12.html"">Romaine Lettuce</a>",<em>E. coli</em> O157:H7,2011
"<a href=""/salmonella/2011/chicken-liver-1-11-2012.html"">Chicken Livers</a>",<em>Salmonella</em> Heidelberg,2011
"<a href=""/salmonella/2011/pine-nuts-11-17-2011.html"">Pine Nuts</a>",<em>Salmonella</em> Enteritidis,2011
"<a href=""/listeria/outbreaks/cantaloupes-jensen-farms/index.html"">Cantaloupes</a>",<em>Listeria monocytogenes</em>,2011
"<a href=""/salmonella/2011/ground-turkey-11-10-2011.html"">Ground Turkey</a>",<em>Salmonella</em> Heidelberg,2011
"<a href=""/salmonella/2011/papayas-8-29-2011.html"">Papayas</a>",<em>Salmonella</em> Agona,2011
"<a href=""/salmonella/2011/alfalfa-spicy-sprouts-7-6-2011.html"">Alfalfa and Spicy Sprouts</a>",<em>Salmonella</em> Enteritidis,2011
"<a href=""/ecoli/2011/travel-germany-7-8-11.html"">Sprouts</a>",<em>E. coli</em> O104,2011
"<a href=""/salmonella/2011/turkey-burger-4-4-2011.html"">Turkey Burgers</a>",<em>Salmonella</em> Hadar,2011
"<a href=""/ecoli/2011/lebanon-bologna-3-23-11.html"">Lebanon Bologna</a>",<em>E. coli</em> O157:H7,2011
"<a href=""/salmonella/2011/cantaloupes-6-23-2011.html"">Cantaloupes</a>",<em>Salmonella</em> Panama,2011
"<a href=""/ecoli/2011/hazelnuts-4-7-11.html"">Hazelnuts</a>",<em>E. coli</em> O157:H7,2011
"<a href=""/salmonella/2010/alfalfa-sprouts-2-10-11.html"">Alfalfa Sprouts</a>","<em>Salmonella</em> I 4,[5],12:i:-",2010
"<a href=""/salmonella/2010/shell-eggs-12-2-10.html"">Shell Eggs</a>",<em>Salmonella</em> Enteritidis,2010
"<a href=""/ecoli/2010/bravo-farms-cheese-11-24-10.html"">Cheese</a>",<em>E. coli</em> O157:H7,2010
"<a href=""/salmonella/2010/cheesy-chicken-rice-9-9-10.html"">Frozen Entrees</a>",<em>Salmonella</em> Chester,2010
"<a href=""/salmonella/2010/frozen-fruit-pulp-8-25-10.html"">Frozen Mamey Fruit Pulp</a>",<em>Salmonella</em> Typhi (Typhoid Fever),2010
"<a href=""/salmonella/2010/restaurant-chain-a-8-4-10.html"">Mexican Style Restaurant Chain</a>",<em>Salmonella</em> Hartford and Baildon,2010
"<a href=""/salmonella/2010/newport-alfalfa-sprout-6-29-10.html"">Alfalfa Sprouts</a>",<em>Salmonella</em> Newport,2010
"<a href=""/ecoli/2010/shredded-romaine-5-21-10.html"">Shredded Romaine Lettuce</a>",<em>E. coli</em> O145,2010
"<a href=""/salmonella/2010/montevideo-5-4-2010.html"">Red and Black Pepper / Italian-Style Meats</a>",<em>Salmonella</em> Montevideo,2010
"<a href=""/ecoli/2010/national-steak-poultry-1-6-10.html"">Beef</a>",<em>E. coli</em> O157:H7,2010
"<a href=""/ecoli/2009/beef-fairbanks-farms-11-24-2009.html"">Beef</a>",<em>E. coli</em> O157:H7,2009
"<a href=""/ecoli/2009/beef-jbs-swift-7-1-2009.html"">Beef</a>",<em>E. coli</em> O157:H7,2009
"<a href=""/ecoli/2009/cookie-dough-6-30-2009.html"">Prepackaged Cookie Dough</a>",<em>E. coli</em> O157:H7,2009
"<a href=""/salmonella/2009/raw-alfalfa-sprouts-5-8-2009.html"">Alfalfal Sprouts</a>",<em>Salmonella</em> Saintpaul,2009
"<a href=""/salmonella/2009/peanut-butter-2008-2009.html"">Peanut Butter</a>",<em>Salmonella</em> Typhimurium,2009
